timestamp,open,high,low,close,volume
2025-09-05,146.0000,147.8800,145.2800,146.3900,7186260
2025-09-04,149.0200,149.4700,146.4500,146.8900,6342232
2025-09-03,149.9500,150.4600,147.1100,148.6400,11241986
2025-09-02,157.4400,157.8000,150.2100,150.2800,17348611
2025-08-29,147.1000,149.2200,146.8700,148.6500,7760710
2025-08-28,147.9600,148.0350,146.2330,146.9800,9265077
2025-08-27,147.0000,147.7900,146.3100,147.6400,8092909
2025-08-26,147.5000,148.2500,145.8100,147.0000,11208146
2025-08-25,148.4250,148.8200,147.5800,148.2000,6624298
2025-08-22,149.6500,151.1800,149.0900,149.6400,5218019
2025-08-21,150.3250,150.3250,148.5950,148.9800,8153618
2025-08-20,153.2100,154.6100,148.6900,150.7300,10023466
2025-08-19,150.0000,152.3250,149.8600,152.1600,8596943
2025-08-18,150.5500,150.5500,148.9200,149.5500,9900999
2025-08-15,149.3900,151.1000,148.4900,150.4000,9162178
2025-08-14,149.0350,149.5000,148.0500,148.6200,6892466
2025-08-13,146.8850,149.5400,146.8500,149.3500,6147005
2025-08-12,145.5500,147.0100,144.7150,146.8700,7670149
2025-08-11,145.3200,145.6000,143.7450,144.8700,5773384
2025-08-08,143.9200,145.3650,143.8000,145.2100,5315087
2025-08-07,141.2400,144.3100,140.4800,143.9200,7674642
2025-08-06,139.9000,141.5800,139.3600,140.8000,6747448
2025-08-05,139.6000,140.3450,139.2600,139.4500,5535084
2025-08-04,139.2850,140.3200,138.7500,139.5600,8384672
2025-08-01,139.1050,139.8100,138.2900,139.2800,7630810
2025-07-31,140.9800,141.5700,137.6400,137.9200,11689674
2025-07-30,143.7700,144.4000,142.2884,142.8600,9738383
2025-07-29,141.5700,143.9850,141.1250,143.8900,6282944
2025-07-28,142.7000,143.1000,141.4600,141.5700,10639129
2025-07-25,144.8100,144.8200,142.7000,143.4500,7021594
2025-07-24,145.8200,146.4700,143.9800,144.5100,9749426
2025-07-23,145.8600,147.0301,145.0900,145.6600,6165951
2025-07-22,141.2300,146.4000,141.2300,146.0400,8281528
2025-07-21,143.1050,143.5900,140.4560,141.7000,9025630
2025-07-18,146.2650,146.3500,142.9400,143.2400,13752825
2025-07-17,141.7000,145.9600,141.6400,145.4400,26161000
2025-07-16,133.9500,135.5100,133.7500,135.3500,10941629
2025-07-15,135.4300,135.5100,133.7500,133.8100,8933520
2025-07-14,134.7500,135.8800,133.8600,135.5700,8480302
2025-07-11,134.8350,135.3900,133.8100,135.2600,7963646
2025-07-10,134.4300,136.6757,133.6300,136.0800,8870905
2025-07-09,134.9000,135.3800,132.9600,134.4800,7762618
2025-07-08,133.4100,135.6718,133.2800,135.0400,7718265
2025-07-07,135.5300,135.7200,133.6750,134.4500,7773744
2025-07-03,136.6950,136.8300,135.2350,135.3800,4941378
2025-07-02,135.2500,137.0000,134.8800,136.4800,9388667
2025-07-01,132.5900,136.3900,132.4700,135.2600,12846685
2025-06-30,131.1950,132.3600,130.5900,132.0400,11402443
2025-06-27,128.2900,131.3390,128.1100,131.0400,26536478
2025-06-26,127.7100,129.1600,127.6000,128.2200,11538069
2025-06-25,130.2600,130.5922,127.6300,128.0200,10922565
2025-06-24,129.1400,131.2100,129.0500,131.0500,9226773
2025-06-23,129.2900,129.5000,127.8200,129.0900,12840356
2025-06-20,129.5300,130.4200,128.9000,129.0700,23000967
2025-06-18,129.6300,129.6750,128.5900,129.0700,8785766
2025-06-17,131.1600,131.6899,129.1300,129.2900,10235225
2025-06-16,131.3100,132.0900,130.2284,131.4100,11183692
2025-06-13,131.7550,133.0600,130.5900,130.8500,9581034
2025-06-12,129.8900,132.3300,129.7100,132.3000,11444911
2025-06-11,131.9400,131.9700,129.7900,129.9000,9168356
2025-06-10,130.2000,132.1200,129.4600,131.8300,11852874
2025-06-09,129.8300,130.6500,129.1800,129.9600,8453146
2025-06-06,130.2450,130.6650,129.3400,130.0300,7628224
2025-06-05,131.2000,131.4100,130.2100,131.1100,9566619
2025-06-04,132.2350,132.7400,131.0950,131.7400,6519728
2025-06-03,130.6300,132.2100,129.8100,131.8500,7339524
2025-06-02,130.9000,131.0300,129.0700,130.9100,6723720
2025-05-30,132.1450,132.7199,131.2900,131.4500,12992075
2025-05-29,130.8600,132.0700,130.2500,131.9200,6659069
2025-05-28,131.2900,132.1900,130.4700,130.6700,9431450
2025-05-27,130.0800,131.4600,129.1280,131.3700,13974764
2025-05-23,129.5600,129.7550,127.7500,129.3400,8122494
2025-05-22,130.0200,130.7000,128.8244,130.1200,7140231
2025-05-21,131.8000,131.9000,130.0600,130.1500,9243724
2025-05-20,131.7450,132.1650,131.3500,131.8000,7624244
2025-05-19,132.1300,132.2600,131.1100,131.7900,9406194
2025-05-16,132.0900,132.2600,130.6500,131.9800,8896370
